동,견인수,정류소,역,카페,학교,기숙사,pc방,약국,학원,숙박업,병원,편의점,음식점,양식,일식,중식,한식,따릉이 대여소
당산동,38,11,1,12,0,2,0,0,10,2,0,12,36,12,3,3,13,23
당산동 1가,37,4,0,30,0,2,0,5,16,20,2,13,153,16,3,2,60,15
당산동 2가,46,9,0,14,0,1,1,1,7,5,0,4,83,6,2,3,41,15
당산동 3가,119,8,2,56,0,3,2,4,55,6,6,18,341,24,14,16,110,35
당산동 4가,44,6,0,35,0,3,0,5,33,3,4,8,136,12,8,10,48,76
당산동 5가,98,19,0,12,0,0,0,5,51,2,12,8,88,10,2,3,24,25
당산동 6가,119,5,0,14,0,5,1,9,24,8,15,13,126,17,3,6,59,6
대림동,439,63,1,76,0,8,15,42,62,25,33,58,913,14,7,236,279,114
도림동,78,24,2,53,0,8,4,17,23,9,1,13,142,14,1,13,53,47
문래동 1가,7,3,0,6,0,0,0,0,7,0,1,2,30,4,1,1,16,0
문래동 2가,43,3,0,23,0,0,0,1,18,1,0,3,121,12,7,3,32,0
문래동 3가,353,20,1,55,0,3,1,11,60,5,9,16,326,32,20,9,130,59
문래동 4가,26,2,0,4,0,1,0,1,14,2,0,0,66,2,3,4,34,20
문래동 5가,73,6,0,5,0,0,0,0,11,0,0,4,21,4,1,1,9,10
문래동 6가,126,8,0,12,0,0,0,5,37,0,7,10,60,13,2,1,18,34
신길동,721,137,1,118,4,35,6,50,164,85,38,85,844,100,26,54,316,236
양평동 1가,72,10,0,19,0,0,0,1,10,6,1,2,114,4,9,5,46,44
양평동 2가,86,6,1,14,1,1,0,3,17,4,2,8,92,8,1,2,32,14
양평동 3가,137,13,0,29,0,2,3,2,30,4,4,16,92,17,1,5,28,65
양평동 4가,166,8,0,41,2,0,1,3,39,8,4,12,233,23,15,11,86,30
양평동 5가,104,6,0,18,0,1,0,4,16,2,3,9,64,12,1,2,18,35
양평동 6가,60,4,0,2,0,0,0,0,6,0,0,3,14,4,0,2,4,7
양화동,3,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0
여의도동,2031,49,2,253,2,0,3,47,188,13,79,93,1646,164,133,79,621,731
영등포동,90,11,0,23,0,12,3,0,18,20,6,14,170,18,9,10,69,86
영등포동 1가,57,1,1,1,0,3,0,0,3,9,1,6,16,7,0,2,7,24
영등포동 2가,31,4,0,14,0,3,0,4,9,9,0,6,55,6,0,2,26,10
영등포동 3가,20,6,0,18,0,13,12,7,8,64,18,18,312,22,10,11,125,0
영등포동 4가,64,8,0,20,0,7,0,14,16,12,14,10,167,19,14,10,52,32
영등포동 5가,6,2,1,5,0,6,3,7,10,15,4,4,100,5,2,2,56,10
영등포동 6가,16,3,0,7,0,6,1,4,5,19,10,4,66,6,2,4,33,0
영등포동 7가,31,8,0,23,0,2,0,2,8,3,1,7,141,15,3,9,46,39
영등포동 8가,37,6,0,17,0,0,2,3,19,0,2,7,74,8,4,3,25,45
